order_id,order_date,product_id,quantity
1,2023-01-02,PROD_A,17
2,2023-01-02,PROD_E,16
3,2023-01-02,PROD_D,15
4,2023-01-02,PROD_A,8
5,2023-01-02,PROD_C,2
6,2023-01-03,PROD_A,16
7,2023-01-03,PROD_A,6
8,2023-01-03,PROD_C,14
9,2023-01-03,PROD_C,2
10,2023-01-03,PROD_D,9
11,2023-01-03,PROD_A,4
12,2023-01-03,PROD_N,6
13,2023-01-03,PROD_H,17
14,2023-01-03,PROD_A,18
15,2023-01-03,PROD_S,6
16,2023-01-03,PROD_B,18
17,2023-01-03,PROD_R,3
18,2023-01-03,PROD_A,18
19,2023-01-03,PROD_A,3
20,2023-01-03,PROD_P,12
21,2023-01-03,PROD_D,1
22,2023-01-03,PROD_A,3
23,2023-01-03,PROD_E,20
24,2023-01-03,PROD_R,9
25,2023-01-03,PROD_I,9
26,2023-01-03,PROD_E,9
27,2023-01-03,PROD_C,19
28,2023-01-03,PROD_J,15
29,2023-01-03,PROD_S,1
30,2023-01-03,PROD_K,11
31,2023-01-04,PROD_A,9
32,2023-01-04,PROD_D,1
33,2023-01-04,PROD_A,11
34,2023-01-04,PROD_L,13
35,2023-01-04,PROD_A,14
36,2023-01-04,PROD_B,14
37,2023-01-04,PROD_B,16
38,2023-01-04,PROD_A,5
39,2023-01-04,PROD_H,14
40,2023-01-04,PROD_M,19
41,2023-01-04,PROD_G,6
42,2023-01-04,PROD_M,4
43,2023-01-04,PROD_C,7
44,2023-01-04,PROD_E,13
45,2023-01-04,PROD_N,14
46,2023-01-04,PROD_B,3
47,2023-01-05,PROD_A,7
48,2023-01-05,PROD_E,3
49,2023-01-05,PROD_A,5
50,2023-01-05,PROD_A,7
51,2023-01-05,PROD_L,5
52,2023-01-05,PROD_A,5
53,2023-01-05,PROD_E,11
54,2023-01-05,PROD_H,4
55,2023-01-05,PROD_Q,8
56,2023-01-05,PROD_B,20
57,2023-01-05,PROD_B,15
58,2023-01-05,PROD_R,6
59,2023-01-05,PROD_G,19
60,2023-01-06,PROD_D,3
61,2023-01-06,PROD_B,19
62,2023-01-06,PROD_B,2
63,2023-01-06,PROD_A,1
64,2023-01-07,PROD_D,19
65,2023-01-08,PROD_O,4
66,2023-01-08,PROD_I,5
67,2023-01-08,PROD_O,17
68,2023-01-08,PROD_A,4
69,2023-01-08,PROD_B,8
70,2023-01-08,PROD_A,1
71,2023-01-08,PROD_M,5
72,2023-01-08,PROD_A,4
73,2023-01-08,PROD_B,9
74,2023-01-08,PROD_I,11
75,2023-01-08,PROD_N,2
76,2023-01-08,PROD_A,17
77,2023-01-08,PROD_A,17
