product_id,raw_material_id,usage_quantity
PROD_A,RAW_050,2
PROD_A,RAW_011,2
PROD_A,RAW_002,4
PROD_A,RAW_048,3
PROD_A,RAW_042,1
PROD_B,RAW_035,5
PROD_B,RAW_004,3
PROD_B,RAW_050,4
PROD_B,RAW_028,2
PROD_B,RAW_046,2
PROD_B,RAW_043,2
PROD_B,RAW_002,4
PROD_C,RAW_021,5
PROD_C,RAW_041,3
PROD_C,RAW_033,3
PROD_C,RAW_048,2
PROD_C,RAW_019,2
PROD_C,RAW_001,1
PROD_C,RAW_032,5
PROD_C,RAW_031,4
PROD_D,RAW_047,3
PROD_D,RAW_042,2
PROD_D,RAW_016,5
PROD_D,RAW_031,1
PROD_E,RAW_009,5
PROD_E,RAW_030,1
PROD_E,RAW_023,5
PROD_E,RAW_028,4
PROD_E,RAW_041,4
PROD_E,RAW_020,3
PROD_E,RAW_022,5
PROD_F,RAW_037,4
PROD_F,RAW_021,1
PROD_F,RAW_007,4
PROD_F,RAW_024,2
PROD_F,RAW_012,2
PROD_F,RAW_006,2
PROD_F,RAW_020,4
PROD_G,RAW_048,3
PROD_G,RAW_002,5
PROD_G,RAW_014,4
PROD_H,RAW_025,1
PROD_H,RAW_040,1
PROD_H,RAW_038,4
PROD_H,RAW_035,1
PROD_I,RAW_004,5
PROD_I,RAW_028,5
PROD_I,RAW_020,3
PROD_I,RAW_042,5
PROD_I,RAW_008,2
PROD_I,RAW_040,1
PROD_I,RAW_025,5
PROD_J,RAW_030,2
PROD_J,RAW_028,3
PROD_J,RAW_044,1
PROD_J,RAW_047,4
PROD_K,RAW_002,2
PROD_K,RAW_045,4
PROD_K,RAW_006,2
PROD_L,RAW_030,4
PROD_L,RAW_014,2
PROD_L,RAW_045,2
PROD_L,RAW_031,4
PROD_L,RAW_011,2
PROD_M,RAW_021,1
PROD_M,RAW_002,3
PROD_M,RAW_022,2
PROD_M,RAW_013,3
PROD_M,RAW_003,4
PROD_M,RAW_030,4
PROD_M,RAW_029,2
PROD_M,RAW_010,5
PROD_N,RAW_011,2
PROD_N,RAW_026,3
PROD_O,RAW_041,3
PROD_O,RAW_048,4
PROD_O,RAW_010,1
PROD_O,RAW_014,2
PROD_O,RAW_009,1
PROD_O,RAW_006,3
PROD_O,RAW_050,3
PROD_P,RAW_028,2
PROD_P,RAW_011,5
PROD_P,RAW_007,5
PROD_Q,RAW_028,1
PROD_Q,RAW_034,2
PROD_Q,RAW_014,1
PROD_Q,RAW_006,3
PROD_Q,RAW_046,1
PROD_Q,RAW_030,3
PROD_Q,RAW_013,4
PROD_R,RAW_036,3
PROD_R,RAW_023,4
PROD_S,RAW_016,5
PROD_S,RAW_029,1
PROD_S,RAW_050,3
PROD_S,RAW_044,5
PROD_S,RAW_006,3
PROD_S,RAW_019,4
PROD_T,RAW_027,1
PROD_T,RAW_021,2
PROD_T,RAW_028,3
PROD_T,RAW_013,1
PROD_T,RAW_011,1
PROD_T,RAW_002,2
PROD_T,RAW_035,5
PROD_T,RAW_046,3
